paper_id,models,link,title,year
1,SLIM;WMF;MULTIVAE;MULTIDAE;CDAE,https://dl.acm.org/doi/pdf/10.1145/3336191.3371774,ADMM SLIM: Sparse Recommendations for Many Users,2020
2,ITEMKNN;BPR;EALS;NCF;GNMF;GCMC;SPECTRALCF,https://arxiv.org/pdf/1808.10523.pdf,Spectral Collaborative Filtering,2018
3,ITEMKNN;USERKNN;WRMF;BPRKNN;ITEMPROB;PURESVD;BPRMF;SLIM,https://www-users.cse.umn.edu/~ningx005/slides/ICDM2011_slides.pdf,SLIM: Sparse Linear Methods for Top-N Recommender Systems,2011
4,NGCF;LIGHTGCN;MULTVAE;DNNSSL;SGLED,https://arxiv.org/pdf/2010.10783.pdf,Self-supervised Graph Learning for Recommendation,2010
5,WARP;LAMBDANET;WMF;SLIM;CDAE;MULTDAE;MULTVAE;RACT;EASE;RECVAE,https://arxiv.org/pdf/1912.11160.pdf,RecVAE: a New Variational Autoencoder for Top-N Recommendations with Implicit Feedback,2019
6,RACT;VAE;WARP;LAMBDARANK;EASE;VAE;CDAE;WMF;SLIM,https://openreview.net/pdf?id=HJxR7R4FvS,RACT: TOWARDS AMORTIZED RANKING-CRITICAL TRAINING FOR COLLABORATIVE FILTERING,2019
7,ITEMPOP;ITEMKNN;BPR;NEUMF;NNCF,https://tbbaby.github.io/pub/CIKM.pdf,A Neural Collaborative Filtering Model with Interaction-based Neighborhood,2017
8,MF;NEUMF;CMN;HOPREC;GCMC;PINSAGE;NGCF,https://arxiv.org/pdf/1905.08108.pdf,Neural Graph Collaborative Filtering∗,2019
9,ITEMKNN;EALS;MLP;BPR;GMF;NEUMF,https://arxiv.org/pdf/1708.05031.pdf,Neural Collaborative Filtering∗,2017
10,BPRMF;NEUMF;FISM;NGCF;MULTIGCCF;DGCF;LIGHTGCN;SGL;NCL,https://arxiv.org/pdf/2202.06200.pdf,Improving Graph Collaborative Filtering with Neighborhood-enriched Contrastive Learning,2022
11,POP;PLREC;PUREREC;WRMF;AUTOREC;CML;NCE,https://arxiv.org/pdf/1811.00697.pdf,Noise Contrastive Estimation for Scalable Linear Models for One-Class Collaborative Filtering,2018
12,MF;MLP;FISM;NAIS,https://arxiv.org/pdf/1809.07053.pdf,NAIS: Neural Attentive Item Similarity Model for Recommendation,2018
13,MULTVAE;MULTDAE;WMF;SLIM;CDAE,https://dl.acm.org/doi/pdf/10.1145/3178876.3186150,Variational Autoencoders for Collaborative Filtering,2018
14,MULTVAE;MULTDAE;MACRIDVAE,https://proceedings.neurips.cc/paper/2019/file/a2186aa7c086b46ad4e8bf81e2a3a19b-Paper.pdf,Learning Disentangled Representations for Recommendation,2019
16,NGCF;LIGHTGCN;MULTVAE;GRMF,https://arxiv.org/pdf/2002.02126.pdf,LightGCN: Simplifying and Powering Graph Convolution Network for Recommendation,2020
18,ITEMKNN;PURESVD;BPRKNN;BPRMF;SLIM;FISM,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.714.8026&rep=rep1&type=pdf,FISM: Factored Item Similarity Models for Top-N Recommender Systems,2013
19,MP;ITEMKNN;BPR;WMF;EXPOMF;GMF;NCF;CONVNCF,https://dl.acm.org/doi/pdf/10.1145/3373807,Efficient Neural Matrix Factorization without Sampling for Recommendation,2020
20,MULTVAE;MULTDAE;WMF;SLIM;CDAE,https://arxiv.org/pdf/1905.03375.pdf,Embarrassingly Shallow Autoencoders for Sparse Data,2019
21,ITEMPOP;ITEMKNN;EALS;NEUMF;DMF,https://www.ijcai.org/Proceedings/2017/0447.pdf,Deep Matrix Factorization Models for Recommender Systems∗,2017
22,MF;GCMC;NGCF;DISENGCN;MACRIDVAE;DGCF,https://arxiv.org/pdf/2007.01764.pdf,Disentangled Graph Collaborative Filtering,2020
23,ITEMPOP;MFBPR;MLP;JRL;NEUMF;CONVNCF,https://arxiv.org/pdf/1808.03912.pdf,Outer Product-based Neural Collaborative Filtering,2018
24,POP;ITEMCF;MF;BPR;FISM;CDAE,https://www.datascienceassn.org/sites/default/files/Collaborative%20Denoising%20Auto-Encoders%20for%20Top-N%20Recommender%20Systems.pdf,Collaborative Denoising Auto-Encoders for Top-N Recommender Systems,2016
25,BPRMF;BPRKNN;WRMF;SVD;ITEMKNN,https://arxiv.org/pdf/1205.2618.pdf,BPR: Bayesian Personalized Ranking from Implicit Feedback,2009
26,POPREC;BPRMF;FMC;FPMC;HRM;PRME;TRANSREC,https://arxiv.org/pdf/1707.02410.pdf,Translation-based Recommendation,2017
27,POP;SPOP;ITEMKNN;BPRMF;FPMC;GRU4REC;NARM;STAMP;SRGNN,https://ojs.aaai.org/index.php/AAAI/article/view/3804/3682,Session-Based Recommendation with Graph Neural Networks,2019
28,GRU4REC;CASER;SASREC;MIND;MCPRN;SINE,https://arxiv.org/pdf/2102.09267.pdf,Sparse-Interest Network for Sequential Recommendation,2021
29,TOP;BPR;FPMC;FOSSIL;HRM;SAN;SHAN,https://opus.lib.uts.edu.au/bitstream/10453/126040/1/ijcai2018_Yin.pdf,Sequential Recommender System based on Hierarchical Attention Network,2018
30,POPREC;BPR;FMC;FPMC;TRANSREC;GRU4REC;CASER;SASREC,https://arxiv.org/pdf/1808.09781.pdf,Self-Attentive Sequential Recommendation,2018
31,POPREC;FM;AUTOINT;GRU4REC;CASER;SASREC;BERT4REC;HGN;FDSA;S3REC,https://arxiv.org/pdf/2008.07873.pdf,S 3 -Rec: Self-Supervised Learning for Sequential Recommendation with Mutual Information Maximization,2020
32,POP;SPOP;ITEMKNN;BPRMF;FPMC;PDP;GRU4REC;NARM;REPEATNET,https://ojs.aaai.org/index.php/AAAI/article/view/4408/4286,Repeatnet: A repeat aware neural recommendation machine for session-based recommendation,2019
33,SLIM;BPR;NEUCF;NPE,https://arxiv.org/pdf/1805.06563.pdf,NPE: Neural Personalized Embedding for Collaborative Filtering,2018
34,MOSTPOP;GRU4REC;CASER;NEXTITNET,https://arxiv.org/pdf/1808.05163.pdf,A Simple Convolutional Generative Network for Next Item Recommendation,2018
35,POP;SPOP;ITEMKNN;BPRMF;FPMC;GRU4REC;NARM,https://arxiv.org/pdf/1711.04725.pdf,Neural Aentive Session-based Recommendation,2017
36,TOP;MC;NMF;FPMC;HRM,https://cseweb.ucsd.edu/classes/fa17/cse291-b/reading/SIGIR2015_NextBasketRec.pdf,Learning Hierarchical Representation Model for Next Basket Recommendation,2015
37,BPRMF;GRU4REC;NEXTITREC;CASER;SASREC;HGN,https://arxiv.org/pdf/1906.09217.pdf,Hierarchical Gating Networks for Sequential Recommendation,2019
39,POP;BPRMF;IKNN;FPMC;GRU4REC;STAMP;SRGNN;GCSAN,https://www.ijcai.org/proceedings/2019/0547.pdf,Graph Contextualized Self-Attention Network for Session-based Recommendation,2019
40,SBPRFPMC;SBPRFMC;SBPRMF,https://www.ra.ethz.ch/cdstore/www2010/www/p811.pdf,Factorizing Personalized Markov Chains for Next-Basket Recommendation,2010
41,POP;BPRMF;FISM;FMC;FPMC;FOSSIL,https://arxiv.org/pdf/1609.09152.pdf,Fusing Similarity Models with Markov Chains for Sparse Sequential Recommendation,2016
42,POPREC;BPR;FPMC;TRANSREC;GRU4REC;CSAN;SASREC;CFSA;FDSA,https://www.ijcai.org/proceedings/2019/0600.pdf,Feature-level Deeper Self-Attention Network for Sequential Recommendation,2019
43,LR;BASEMODEL;WIDEDEEP;PNN;DEEPFM;DIN,https://arxiv.org/pdf/1706.06978.pdf,Deep Interest Network for Click-Through Rate Prediction,2017
44,FPMC;GRU4REC;NARM;SRGNN;NISER;LESSR;SGNNHN;SASREC;GCSAN;CL4REC;CORE,https://arxiv.org/pdf/2204.11067.pdf,CORE: Simple and Effective Session-based Recommendation within Consistent Representation Space,2022
45,POP;BPRMF;NCF;FPMC;GRU4REC;CASER;SASREC;BERT4REC,https://arxiv.org/pdf/1904.06690.pdf,BERT4Rec: Sequential Recommendation with Bidirectional Encoder Representations from Transformer,2019
46,BPR;BPRHFT;VBPR;TRANSREC;DEEPCONN;CKE;JRL;ECFKG,https://www.mdpi.com/1999-4893/11/9/137/pdf,Learning Heterogeneous Knowledge Base Embeddings for Explainable Recommendation,2018
47,LR;FM;FNN;CCPM;IPNN;OPNN;PNN,https://arxiv.org/pdf/1611.00144.pdf,Product-based Neural Networks for User Response Prediction,2016
48,LR;FM;DNN;DCN;WIDEDEEP;PNN;DEEPFM;XDEEPFM,https://arxiv.org/pdf/1803.05170.pdf,Wide & Deep Learning for Recommender Systems,2016
49,BPRMF;PRP;PER;LIBFM;CKE,https://www.kdd.org/kdd2016/papers/files/adf0066-zhangA.pdf,Collaborative Knowledge Base Embedding for Recommender Systems,2016
50,FM;NFM;CKE;CFKG;MCREC;RIPPLENET;GCMC;KGAT,https://arxiv.org/pdf/1905.07854.pdf,KGAT: Knowledge Graph Attention Network for Recommendation,2019
51,SVD;LIBFM;PER;CKE;RIPPLENET;KGCN,https://arxiv.org/pdf/1904.12575.pdf,Knowledge Graph Convolutional Networks for Recommender Systems,2019
52,SVD;LIBFM;PER;CKE;RIPPLENET;KGNN,https://arxiv.org/pdf/1905.04413.pdf,Knowledge-aware Graph Neural Networks with Label Smoothness Regularization for Recommender Systems,2019
53,FM;BPRMF;CFKG;CKE;COFM;TUP;KTUP,https://arxiv.org/pdf/1902.06236.pdf,Unifying Knowledge Graph Learning and Recommendation: Towards a Better Understanding of User Preferences,2019
54,PER;CKE;DKN;RIPPLENET;LIBFM;WIDEDEEP;MKR,https://arxiv.org/pdf/1901.08907.pdf,Multi-Task Feature Learning for Knowledge Graph Enhanced Recommendation,2019
55,RIPPLENET;CKE;SHINE;DKN;PER;LIBFM;WIDEDEEP,https://arxiv.org/pdf/1803.03467.pdf,RippleNet: Propagating User Preferences on the Knowledge Graph for Recommender Systems,2018
56,LIBFM;HOFM;WIDEDEEP;DEEPCROSS;AFM,https://arxiv.org/pdf/1708.04617.pdf,Attentional Factorization Machines: Learning the Weight of Feature Interactions via Attention Networks,2017
57,LR;FM;AFM;DEEPCROSSING;NFM;CROSSNET;CIN;HOFM;AUTOINT,https://arxiv.org/pdf/1810.11921.pdf,AutoInt: Automatic Feature Interaction Learning via Self-Attentive Neural Networks,2019
64,LR;POLY2;FM;FFM;FWFM,https://dl.acm.org/doi/pdf/10.1145/3178876.3186040,Field-weighted Factorization Machines for Click-Through Rate Prediction in Display Advertising,2018
66,LIBFM;HOFM;WIDEDEEP;DEEPCROSS;NFM,https://arxiv.org/pdf/1708.05027&ie=utf-8&sc_us=6917339300733978278.pdf,Neural Factorization Machines for Sparse Predictive Analytics,2017
67,BPR;LSTM;CNN;NCF;ATRANK;THACIL;ALPINE;MTIN;DMR,https://arxiv.org/pdf/2110.03902.pdf,Multi-trends Enhanced Dynamic Micro-video Recommendation,2021
68,NCF;DIN;LIGHTGCN;CASER;GRU4REC;DIEN;SASREC;SURGE;SLIREC;CLSR,https://dl.acm.org/doi/pdf/10.1145/3485447.3512098,Disentangling Long and Short-Term Interests for Recommendation,2022
69,POP;YDNN;GRU4REC;MIND;COMISA;COMIDR;CAUSEITEM;CAUSEH;CAUSEIN,https://arxiv.org/pdf/2109.05261.pdf,CauseRec: Counterfactual User Sequence Synthesis for Sequential Recommendation,2021
70,GRU4REC;COMIREC;MIND;MIMN;HPMN;SASREC;LIMAREC,https://arxiv.org/pdf/2105.14060.pdf,Rethinking Lifelong Sequential Recommendation with Incremental Multi-Interest Attention,2021
71,GRU4REC;NARM;SRGNN;LESSR;DATMDI;RIB;SBR,https://arxiv.org/pdf/2112.15328.pdf,Temporal aware Multi-Interest Graph Neural Network For Session-based Recommendation,2021
72,FPMC;NARM;NPE;TRANREC;HRM;SASREC;DIN;TWOSTAGE;ADVERSARIAL;CORR,https://arxiv.org/pdf/2206.14649.pdf,Cooperative Retriever and Ranker in Deep Recommenders,2022
73,BIASMF;DMF;NCF;AUTOREC;CDAE;CFNADE;CFUICA;STGCN;NGCF;NMTR;DIPN;MATN,https://arxiv.org/pdf/2110.04002.pdf,Multiplex Behavioral Relation Learning for Recommendation via Memory Augmented Transformer Network,2021
74,BPR;FISM;NARM;SASREC;TISASREC;TRANSFM;CHORUS;RCF;KDA,https://chenchongthu.github.io/files/TOIS-KDA-wcy.pdf,Toward Dynamic User Intention: Temporal Evolutionary Effects of Item Relations in Sequential Recommendation,2020
75,BPR;FM;GRU4REC;SASREC;BERT4REC;FDSA;S3REC;CHORUS;KDA;CRBIANET,https://2022.eswc-conferences.org/wp-content/uploads/2022/05/paper_28_Wu_et_al.pdf,Enhancing Sequential Recommendation via Decoupled Knowledge Graphs,2022
77,XGBOOST;DEEPFM;RECONEMBED;GRAPHEMBED;SAGCN;SALIGHTGCN;HAN;HETGNN;GRIP,http://fi.ee.tsinghua.edu.cn/public/publications/b19b8ee6-d647-11eb-b8ab-0242ac120003.pdf,User Consumption Intention Prediction in Meituan,2021
78,POP;SPOP;ITEMKNN;BPRMF;FPMC;GRU4REC;NARM;STAMP;SRGNN;FGNN;GCSAN;SASREC;POSREC,https://arxiv.org/pdf/2107.00846.pdf,Exploiting Positional Information for Session-based Recommendation,2021
79,BPR;GMF;TENSOR;GRU4REC;NARM;CFKG;SLRC;CHORUS,http://www.thuir.cn/group/~mzhang/publications/SIGIR2020Wangcy.pdf,Make It a Chorus: Knowledge- and Time-aware Item Modeling for Sequential Recommendation,2020
80,GRU4REC;NARM;CASER;SASREC;BERT4REC;NCR;NANAS;MANAS,https://arxiv.org/pdf/2208.11083.pdf,Learn Basic Skills and Reuse: Modularized Adaptive Neural Architecture Search (MANAS),2022
81,SASREC;BERT4REC;SSEPT,https://arxiv.org/pdf/2208.04116.pdf,UFNRec: Utilizing False Negative Samples for Sequential Recommendation,2022
83,GRU4REC;NARRE;MCREC;NFM;CHORUS;S3REC;TMER,https://arxiv.org/pdf/2111.12262.pdf,Reinforcement Learning based Path Exploration for Sequential Explainable Recommendation,2021
84,DPVAE;KNN;SVD;LIGHTFM;VAE;DPMF;DPAE,https://i.cs.hku.hk/~cwu/papers/lfang-kbs22.pdf,Differentially private recommender system with variational autoencoders,2022
85,BPR;GRU4REC;RECHORUS;NCF;SASREC;CASER;TAHK,https://downloads.hindawi.com/journals/sp/2022/6101045.pdf,User Dynamic Preference Construction Method Based on Behavior Sequence,2022
86,SVD;YOUTUBENET;PNN;GRU4REC;CASER;ATRANK;DIEN;UBCRUA;TOPOLSTM;DIB;IBGRUA;TIEN;CAEN,https://arxiv.org/pdf/2208.13480.pdf,CAEN: A Hierarchically Attentive Evolution Network for Item-Attribute-Change-Aware Recommendation in the Growing E-commerce Environment,2022
87,SASREC;GRU4REC;BERT4REC;TISASREC;STACKREC;CLREC;CL4SREC;CT4REC,https://arxiv.org/pdf/2112.06668.pdf,C 2 -Rec: An Effective Consistency Constraint for Sequential Recommendation,2021
88,BPR;NCF;DEEPFM;GRU4REC;CASER;NARM;SASREC;BERT4REC;CHORUS;HYREC;MAGNN;SRGNN;GCGNN;MGNN;HGT;NMTR;MATN;MBGCN;TGT,https://arxiv.org/pdf/2206.02687.pdf,Multi-Behavior Sequential Recommendation with Temporal Graph Transformer,2022
89,GU4REC;TAGNN;COTREC;CSRM;ISCON,https://arxiv.org/pdf/2208.09076.pdf,Implicit Session Contexts for Next-Item Recommendations,2022
90,FPMC;GRU4REC;SASREC;KERLF;MFGAN;NOVABERT;MARIS,https://web.archive.org/web/20220711180705id_/https://dl.acm.org/doi/pdf/10.1145/3477495.3532022,Multi-Agent RL-based Information Selection Framework for Sequential Recommendation,2022
91,FPMC;GRU4REC;NARM;STAMP;SRGNN;FGNN;GCEGNN;MTD;S2DHCN;MGIR,https://web.archive.org/web/20220712010400id_/https://dl.acm.org/doi/pdf/10.1145/3477495.3532024,Multi-Faceted Global Item Relation Learning for Session-Based Recommendation,2022
92,CBCF;STAN;GRU4REC;SASREC;SRGNN;SGNNHN;STAMP,https://arxiv.org/pdf/2205.06058.pdf,"Positive, Negative and Neutral: Modeling Implicit Feedback in Session-based News Recommendation",2022
93,TOPPOPULAR;TOPPERSONAL;NMF;SVD;IALS;EASE;SLIM;MULTIVAE;MACRIDVAE;RECVAE;GRU4REC;SASREC;BERT4REC;REPEATNET;ITEMKNN;TIFUKNN,https://arxiv.org/pdf/2110.05589.pdf,TTRS: Tinkoff Transactions Recommender System Benchmark,2021
94,MOSTPOP;BPRMF;NEUMF;CKE;FMG;MCREC;HAN;RKGE;KPRN;KGAT;HAKG,https://arxiv.org/pdf/1910.08288.pdf,Hierarchical Attentive Knowledge Graph Embedding for Personalized Recommendation,2021
95,POP;BPRMF;ITEMKNN;NCF;CONET;GRU4REC;HRNN;NARM;STAMP;SRGNN;KSR;MIFN,https://arxiv.org/pdf/2012.00485.pdf,Mixed Information Flow for Cross-domain Sequential Recommendations,2020
96,MF;CKE;UGREC;KGNN;KGAT;CKAN;KGIN;HYPERKNOW;LKGR;HAKG,https://arxiv.org/pdf/2204.04959.pdf,HAKG: Hierarchy-Aware Knowledge Gated Network for Recommendation,2022
97,GRU4REC;YOUTUBEDNN;MIND;COMERIC;PIMI,https://arxiv.org/pdf/2106.04415.pdf,Exploring Periodicity and Interactivity in Multi-Interest Framework for Sequential Recommendation,2021
99,GLOBALPOP;SEQPOP;GRU4REC;BERT4REC;M3R;RNNMTL;FMGAN;CSRM;ICMSR;COCOREC,http://140.122.184.128/presentation/21-12-07/Category-aware%20Collaborative%20Sequential%20Recommendation.pdf,Category-aware Collaborative Sequential Recommendation,2021
101,MF;CKE;KGAT;KGNNLS;CKAN;TGCN;KGIN3,https://dl.acm.org/doi/pdf/10.1145/3442381.3450133,Learning Intents behind Interactions with Knowledge Graph for Recommendation,2021
